Drill Listing
=============
Drill: .01181  Tool: 1  Feed: 0  Speed: 0
X 146435  Y 366470
X 138739  Y 373702
X 144294  Y 379893
X 163057  Y 388322
X 138739  Y 394127
X 144525  Y 399971
X 156134  Y 410542
X 138855  Y 416346
X 144120  Y 422363
X 159465  Y 429886
X 138623  Y 446318
X 144583  Y 452335
X 159755  Y 460324
X 138855  Y 481787
X 144178  Y 487168
X 160115  Y 495565
X 138860  Y 514303
X 144588  Y 519725
X 164503  Y 523903
X 173639  Y 505108
X 186824  Y 486198
X 182788  Y 438579
X 184599  Y 422930
X 181575  Y 403222
X 164062  Y 402971
X 176250  Y 391816
X 179212  Y 386328
X 196369  Y 371156
X 237227  Y 371336
X 235934  Y 385714
X 213674  Y 396143
X 194530  Y 424917
X 237451  Y 426266
X 206438  Y 433947
X 194344  Y 448566
X 229844  Y 452828
X 194595  Y 490100
X 237378  Y 491248
X 206161  Y 498931
X 194303  Y 513397
X 225075  Y 517205
X 271456  Y 522082
X 239934  Y 521915
X 257801  Y 502756
X 268042  Y 487481
X 278689  Y 487365
X 238972  Y 456989
X 271167  Y 455194
X 257743  Y 437489
X 277994  Y 423255
X 267695  Y 422329
X 247419  Y 362309
X 334627  Y 356981
X 305649  Y 357253
X 334173  Y 378419
X 310282  Y 384415
X 336305  Y 436299
X 336189  Y 443416
X 330113  Y 454467
X 321724  Y 460890
X 378843  Y 479705
X 376518  Y 475182
X 366508  Y 474140
X 363715  Y 457886
X 346835  Y 417089
X 367791  Y 405394
X 372945  Y 403953
X 380737  Y 387915
X 363242  Y 376058
X 387861  Y 372061
X 410895  Y 354017
X 400393  Y 368724
X 391456  Y 387188
X 394000  Y 406342
X 406334  Y 440942
X 408070  Y 446670
X 403767  Y 474911
X 401730  Y 479345
X 396218  Y 479345
X 394200  Y 485111
X 446868  Y 382996
X 448867  Y 374093

Drill: .01772  Tool: 2  Feed: 0  Speed: 0
X 454987  Y 355804 X 454987  Y 360135
X 432743  Y 355804 X 432743  Y 360135

Drill: .01969  Tool: 3  Feed: 0  Speed: 0
X 290569  Y 355475 X 290569  Y 359018
X 269309  Y 355869 X 269309  Y 359412

Drill: .02559  Tool: 4  Feed: 0  Speed: 0
X 435991  Y 366434
X 451739  Y 366434

Drill: .0315  Tool: 5  Feed: 0  Speed: 0
X 434935  Y 511669
X 434944  Y 536699
X 444786  Y 536699
X 444778  Y 511669

Drill: .035  Tool: 6  Feed: 0  Speed: 0
X 433865  Y 411296
X 433865  Y 421296
X 433865  Y 431296
X 433865  Y 441296
X 433865  Y 451296
X 433865  Y 461296
X 433865  Y 471296
X 433865  Y 481296
X 433865  Y 491296
X 443865  Y 491296
X 443865  Y 481296
X 443865  Y 471296
X 443865  Y 461296
X 443865  Y 451296
X 443865  Y 441296
X 443865  Y 431296
X 443865  Y 421296
X 443865  Y 411296

Drill: .037  Tool: 7  Feed: 0  Speed: 0
X 221365  Y 358796
X 231365  Y 368796
X 255186  Y 535253
X 251109  Y 499725
X 250077  Y 471627
X 250614  Y 436166
X 241365  Y 358796
X 322197  Y 395469
X 321969  Y 413985
X 413865  Y 406296
X 403865  Y 396296
X 436118  Y 390120
X 413865  Y 386296

Drill: .04724  Tool: 8  Feed: 0  Speed: 0
X 369357  Y 532635
X 400853  Y 532635

Drill: .05906  Tool: 9  Feed: 0  Speed: 0
X 278758  Y 387758

End of Listing
